epid,mep,role,country,group,location,title,lobbyists,mep,dossier,committees,date
96711,Pascal CANFIN,Member,France,RE,Bruxelles,Climate neutrality in Europe,European Climate Foundation,Pascal CANFIN,,,28/01/2020
96711,Pascal CANFIN,Member,France,RE,Bruxelles,sustainable finance,WWF,Pascal CANFIN,,,23/01/2020
96711,Pascal CANFIN,Member,France,RE,Bruxelles,Transition in Central Europe,PGE,Pascal CANFIN,,,23/01/2020
96711,Pascal CANFIN,Member,France,RE,Bruxelles,Brexit,"WWF, GreenerUK, BirdLife",Pascal CANFIN,,,22/01/2020
96711,Pascal CANFIN,Member,France,RE,Strasbourg,"sustainable mobility, Green Deal",Alstom,Pascal CANFIN,,,14/01/2020
96711,Pascal CANFIN,Member,France,RE,European parliament,"protection of EU consumers, trade policy",BEUC,Pascal CANFIN,,,07/01/2020
96711,Pascal CANFIN,Member,France,RE,European parliament,"Green Deal, industrial policy",Jeremy Rifkin,Pascal CANFIN,,,11/12/2019
96711,Pascal CANFIN,Member,France,RE,Brussels,Green Deal,European Cement Association,Pascal CANFIN,,,04/12/2019
96711,Pascal CANFIN,Member,France,RE,European parliament,"Energy policy, climate neutrality",Agora Energiewende,Pascal CANFIN,,,20/11/2019
96711,Pascal CANFIN,Member,France,RE,Brussels,Green Deal,CLG Europe Leaders,Pascal CANFIN,,,05/11/2019
96711,Pascal CANFIN,Member,France,RE,European parliament,"Green Deal, Environment policies",WWF,Pascal CANFIN,,,05/11/2019
96711,Pascal CANFIN,Member,France,RE,European parliament,Green Deal,ETUC,Pascal CANFIN,,,04/11/2019
96711,Pascal CANFIN,Member,France,RE,European parliament,Agriculture,Greenpeace,Pascal CANFIN,,,24/10/2019
